date,reported,occurred
3/18/20,1,1
3/19/20,1,0
3/20/20,1,1
3/21/20,2,1
3/22/20,3,3
3/23/20,6,5
3/24/20,8,7
3/25/20,12,5
3/26/20,16,7
3/27/20,23,13
3/28/20,35,7
3/29/20,40,7
3/30/20,48,24
3/31/20,63,10
4/1/20,74,19
4/2/20,90,31
4/3/20,102,46
4/4/20,136,53
4/5/20,151,60
4/6/20,162,79
4/7/20,240,91
4/8/20,309,83
4/9/20,338,100
4/10/20,416,89
4/11/20,494,94
4/12/20,507,85
4/13/20,524,107
4/14/20,584,122
4/15/20,647,115
4/16/20,707,136
4/17/20,756,155
4/18/20,836,144
4/19/20,1112,131
4/20/20,1204,135
4/21/20,1564,146
4/22/20,1622,161
4/23/20,1421,142
4/24/20,1492,143
4/25/20,1537,179
4/26/20,1550,123
4/27/20,1597,138
4/28/20,1716,133
4/29/20,2195,137
4/30/20,2292,147
5/1/20,2354,118
5/2/20,2418,110
5/3/20,2444,117
5/4/20,2458,122
5/5/20,3012,128
5/6/20,3106,120
5/7/20,3416,114
5/8/20,3616,115
5/9/20,3688,91
5/10/20,3707,106
5/11/20,3731,104
5/12/20,3806,89
5/13/20,3943,92
5/14/20,4218,105
5/15/20,4342,96
5/16/20,4403,91
5/17/20,4418,74
5/18/20,4504,65
5/19/20,4624,75
5/20/20,4767,68
5/21/20,4869,72
5/22/20,4984,78
5/23/20,5096,50
5/24/20,5124,48
5/25/20,5139,59
5/26/20,5152,37
5/27/20,5265,44
5/28/20,5373,47
5/29/20,5464,53
5/30/20,5537,31
5/31/20,5555,35
6/1/20,5567,40
6/2/20,5667,52
6/3/20,5742,38
6/4/20,5817,17
6/5/20,5886,30
6/6/20,5931,27
6/7/20,5943,27
6/8/20,5953,19
6/9/20,6014,14
6/10/20,6062,15
6/11/20,6113,14
6/12/20,6162,9
6/13/20,6162,3
6/14/20,6215,1
6/15/20,6215,1
